13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
across-work-with-excel.md                                                                            	             34	                31	                31	                          31	         477	            467	            467	                      467	                    2650	                       2567	                       2567	                                 2567	                       3076	                          2987	                          2987	                                    2987	
across-workflow.md                                                                                   	             26	                21	                15	                          15	         325	            303	            195	                      195	                    2037	                       1894	                       1305	                                 1305	                       2326	                          2167	                          1476	                                    1476	
across-working-with-business-central-in-powerbi.md                                                   	             58	                54	                51	                          51	         732	            720	            701	                      701	                    4775	                       4663	                       4557	                                 4557	                       5411	                          5293	                          5172	                                    5172	
across-working-with-powerbi.md                                                                       	             98	                93	                78	                          78	        1327	           1314	           1168	                     1168	                    7856	                       7731	                       6981	                                 6981	                       9042	                          8911	                          8032	                                    8032	
across-working-with-teams.md                                                                         	             55	                51	                45	                          45	         723	            716	            664	                      664	                    4101	                       4019	                       3699	                                 3699	                       4756	                          4673	                          4307	                                    4307	
admin-apply-configuration-to-new-companies.md                                                        	             19	                15	                15	                          15	         157	            151	            151	                      151	                     932	                        869	                        869	                                  869	                       1068	                          1004	                          1004	                                    1004	
admin-cancel.md                                                                                      	             25	                23	                23	                          23	         405	            401	            401	                      401	                    2469	                       2429	                       2429	                                 2429	                       2827	                          2786	                          2786	                                    2786	
admin-cds-company-concept.md                                                                         	             71	                68	                66	                          66	        1017	           1011	           1005	                     1005	                    5616	                       5547	                       5469	                                 5469	                       6529	                          6459	                          6381	                                    6381	
admin-cds-missing-option-values.md                                                                   	            215	               190	               143	                         138	         858	            830	            759	                      754	                    4930	                       4825	                       4485	                                 4477	                       5601	                          5495	                          5118	                                    5110	
admin-classifying-data-sensitivity.md                                                                	             43	                40	                40	                          40	         539	            534	            534	                      534	                    2996	                       2945	                       2945	                                 2945	                       3488	                          3436	                          3436	                                    3436	
