13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
finance-setup-reminders.md                                                                           	             84	                79	                61	                          61	         918	            901	            806	                      806	                    5036	                       4937	                       4366	                                 4366	                       5859	                          5749	                          5103	                                    5103	
finance-setup-trail-codes.md                                                                         	             58	                54	                53	                          53	         804	            792	            767	                      767	                    4247	                       4135	                       3870	                                 3870	                       4982	                          4864	                          4582	                                    4582	
finance-setup-unrealized-vat.md                                                                      	             41	                36	                36	                          35	         513	            506	            488	                      487	                    2684	                       2622	                       2524	                                 2519	                       3150	                          3087	                          2972	                                    2967	
finance-setup-vat.md                                                                                 	            160	               151	               145	                         144	        2452	           2389	           2245	                     2238	                   12797	                      12446	                      11696	                                11654	                      15051	                         14648	                         13765	                                   13717	
finance-terminology-in-cost-accounting.md                                                            	             98	                96	                90	                          90	        1142	           1138	           1068	                     1068	                    6013	                       5973	                       5585	                                 5585	                       7049	                          7008	                          6556	                                    6556	
finance-transfer-and-post-cost-entries.md                                                            	             74	                67	                66	                          66	        1076	           1041	           1013	                     1013	                    5887	                       5682	                       5539	                                 5539	                       6865	                          6634	                          6465	                                    6465	
finance-work-with-vat.md                                                                             	            193	               183	               163	                         162	        2674	           2602	           2384	                     2380	                   14410	                      13986	                      12813	                                12778	                      16862	                         16379	                         15014	                                   14976	
finance.md                                                                                           	             69	                63	                60	                          60	         662	            638	            625	                      625	                    4388	                       4234	                       4133	                                 4133	                       4961	                          4791	                          4679	                                    4679	
hr-how-manage-absence.md                                                                             	             44	                40	                35	                          35	         519	            508	            433	                      433	                    3076	                       2995	                       2557	                                 2557	                       3544	                          3457	                          2949	                                    2949	
hr-how-register-employees.md                                                                         	             37	                33	                30	                          30	         456	            446	            389	                      389	                    2627	                       2522	                       2216	                                 2216	                       3035	                          2926	                          2568	                                    2568	
hr-manage-human-resources.md                                                                         	             16	                11	                11	                          11	         146	            124	            124	                      124	                     982	                        857	                        857	                                  857	                       1106	                           965	                           965	                                     965	
index.md                                                                                             	             58	                54	                40	                          40	         497	            485	            461	                      461	                    4052	                       3940	                       3597	                                 3597	                       4452	                          4334	                          3983	                                    3983	
install-mobile-app.md                                                                                	             36	                33	                28	                          28	         425	            415	            378	                      378	                    2581	                       2498	                       2279	                                 2279	                       2947	                          2858	                          2608	                                    2608	
intercompany-allocate-costs.md                                                                       	             75	                73	                66	                          66	         997	            993	            961	                      961	                    5608	                       5568	                       5390	                                 5390	                       6507	                          6466	                          6264	                                    6264	
intercompany-how-manage-intercompany-inbox.md                                                        	             67	                63	                62	                          62	        1040	           1030	           1003	                     1003	                    5882	                       5778	                       5622	                                 5622	                       6841	                          6733	                          6552	                                    6552	
intercompany-how-setup.md                                                                            	            122	               118	               108	                         108	        2253	           2218	           1969	                     1969	                   12623	                      12413	                      10937	                                10937	                      14720	                         14481	                         12780	                                   12780	
intercompany-how-work-documents-journals.md                                                          	             38	                32	                26	                          26	         554	            508	            455	                      455	                    3161	                       2900	                       2461	                                 2461	                       3664	                          3365	                          2887	                                    2887	
intercompany-manage.md                                                                               	             37	                31	                30	                          30	         498	            474	            461	                      461	                    3136	                       2982	                       2826	                                 2826	                       3588	                          3418	                          3255	                                    3255	
inventory-about-item-types.md                                                                        	             36	                32	                31	                          31	         500	            494	            493	                      493	                    2886	                       2831	                       2824	                                 2824	                       3275	                          3219	                          3212	                                    3212	
inventory-how-adjust-item-costs.md                                                                   	             62	                 0	                55	                           0	        1169	              0	           1095	                        0	                    6017	                          0	                       5608	                                    0	                       7116	                             0	                          6641	                                       0	
inventory-how-availability-overview.md                                                               	            100	                92	                84	                          84	        1762	           1656	           1534	                     1534	                    9277	                       8693	                       8113	                                 8113	                      10920	                         10243	                          9549	                                    9549	
inventory-how-block-items.md                                                                         	             29	                22	                21	                          21	         365	            284	            283	                      283	                    1868	                       1415	                       1399	                                 1399	                       2198	                          1675	                          1659	                                    1659	
inventory-how-categorize-items.md                                                                    	             27	                24	                22	                          22	         342	            313	            311	                      311	                    2027	                       1855	                       1808	                                 1808	                       2324	                          2128	                          2081	                                    2081	
inventory-how-copy-items.md                                                                          	             16	                12	                12	                          12	         190	            159	            159	                      159	                    1001	                        792	                        792	                                  792	                       1170	                           937	                           937	                                     937	
inventory-how-count-adjust-reclassify.md                                                             	            241	               223	               187	                         183	        3324	           3114	           2839	                     2782	                   18305	                      17125	                      15568	                                15244	                      21356	                         19992	                         18198	                                   17823	
inventory-how-count-inventory-with-documents.md                                                      	            162	               154	               146	                         144	        2280	           2254	           2200	                     2192	                   13049	                      12846	                      12550	                                12506	                      15105	                         14886	                         14546	                                   14496	
inventory-how-import-item-pictures.md                                                                	             23	                20	                20	                          19	         282	            252	            276	                      250	                    1636	                       1455	                       1585	                                 1444	                       1875	                          1669	                          1822	                                    1657	
inventory-how-register-new-items.md                                                                  	             81	                74	                68	                          68	        1186	           1110	           1065	                     1065	                    6395	                       5961	                       5662	                                 5662	                       7475	                          6975	                          6640	                                    6640	
inventory-how-revalue-inventory.md                                                                   	             19	                15	                15	                          15	         201	            191	            191	                      191	                    1309	                       1205	                       1205	                                 1205	                       1482	                          1374	                          1374	                                    1374	
inventory-how-setup-general.md                                                                       	             19	                 0	                15	                           0	         325	              0	            293	                        0	                    2073	                          0	                       1855	                                    0	                       2367	                             0	                          2124	                                       0	
inventory-how-setup-locations.md                                                                     	             25	                17	                16	                          15	         251	            202	            199	                      191	                    1648	                       1277	                       1274	                                 1209	                       1857	                          1449	                          1443	                                    1371	
inventory-how-setup-units-of-measure.md                                                              	             69	                62	                55	                          55	        1212	           1147	           1045	                     1045	                    6113	                       5740	                       5194	                                 5194	                       7245	                          6817	                          6177	                                    6177	
inventory-how-to-reserve-items.md                                                                    	             80	                74	                67	                          66	         967	            894	            839	                      818	                    5609	                       5193	                       4855	                                 4746	                       6489	                          6010	                          5623	                                    5495	
inventory-how-to-set-up-stockkeeping-units.md                                                        	             20	                16	                16	                          15	         304	            270	            294	                      268	                    1915	                       1703	                       1810	                                 1666	                       2184	                          1944	                          2075	                                    1907	
inventory-how-to-trace-item-tracked-items.md                                                         	             47	                40	                41	                          40	         660	            626	            652	                      626	                    3584	                       3374	                       3512	                                 3374	                       4185	                          3950	                          4112	                                    3950	
inventory-how-transfer-between-locations.md                                                          	             42	                37	                33	                          33	         573	            561	            522	                      522	                    3401	                       3258	                       3046	                                 3046	                       3918	                          3771	                          3525	                                    3525	
inventory-how-use-item-cross-refs.md                                                                 	             25	                21	                22	                          21	         421	            366	            392	                      366	                    2341	                       2028	                       2169	                                 2028	                       2728	                          2367	                          2532	                                    2367	
inventory-how-work-BOMs.md                                                                           	             92	                84	                79	                          79	        1395	           1311	           1265	                     1265	                    7359	                       6861	                       6557	                                 6557	                       8649	                          8080	                          7735	                                    7735	
inventory-how-work-item-attributes.md                                                                	             59	                52	                48	                          48	         866	            804	            719	                      719	                    5020	                       4615	                       4135	                                 4135	                       5810	                          5355	                          4796	                                    4796	
inventory-how-work-item-tracking.md                                                                  	            228	               215	               202	                         202	        3626	           3551	           3423	                     3423	                   19775	                      19332	                      18544	                                18544	                      23145	                         22643	                         21743	                                   21743	
inventory-how-work-nonstock-items.md                                                                 	             47	                40	                33	                          33	         710	            660	            579	                      579	                    3710	                       3422	                       2962	                                 2962	                       4358	                          4029	                          3497	                                    3497	
inventory-manage-inventory.md                                                                        	             63	                56	                48	                          48	         748	            734	            579	                      579	                    4460	                       4345	                       3477	                                 3477	                       5136	                          5016	                          4001	                                    4001	
inventory-responsibility-centers.md                                                                  	             45	                41	                37	                          37	         644	            630	            600	                      600	                    3826	                       3731	                       3541	                                 3541	                       4409	                          4305	                          4091	                                    4091	
inventory-setup-inventory.md                                                                         	             34	                27	                23	                          23	         334	            307	            293	                      293	                    2072	                       1888	                       1760	                                 1760	                       2365	                          2162	                          2024	                                    2024	
keyboard-shortcuts-cheatsheet.md                                                                     	             16	                15	                15	                          15	         393	            391	            391	                      391	                    2284	                       2251	                       2251	                                 2251	                       2516	                          2483	                          2483	                                    2483	
keyboard-shortcuts.md                                                                                	            361	               355	               297	                         296	        2962	           2954	           2754	                     2753	                   14347	                      14287	                      13335	                                13330	                      16752	                         16691	                         15621	                                   15616	
marketing-add-contact-segment.md                                                                     	             35	                33	                30	                          30	         483	            479	            440	                      440	                    2538	                       2498	                       2295	                                 2295	                       2981	                          2940	                          2701	                                    2701	
marketing-auto-record-interactions.md                                                                	             11	                 9	                 9	                           9	         137	            133	            133	                      133	                     903	                        863	                        863	                                  863	                       1023	                           982	                           982	                                     982	
marketing-campaigns.md                                                                               	             39	                37	                35	                          35	         576	            572	            553	                      553	                    3124	                       3084	                       2955	                                 2955	                       3651	                          3610	                          3464	                                    3464	
marketing-contacts.md                                                                                	             21	                16	                16	                          16	         209	            187	            187	                      187	                    1262	                       1137	                       1137	                                 1137	                       1448	                          1307	                          1307	                                    1307	
marketing-create-contact-companies.md                                                                	             91	                86	                81	                          81	        1410	           1394	           1326	                     1326	                    7928	                       7806	                       7378	                                 7378	                       9232	                          9100	                          8612	                                    8612	
marketing-create-contact-profile-questionnaire.md                                                    	             67	                61	                52	                          52	         540	            527	            517	                      517	                    3244	                       3137	                       3082	                                 3082	                       3711	                          3598	                          3543	                                    3543	
marketing-how-create-interactions.md                                                                 	             28	                25	                24	                          23	         347	            338	            310	                      305	                    2097	                       2025	                       1873	                                 1841	                       2411	                          2334	                          2156	                                    2120	
marketing-how-create-opportunities.md                                                                	             23	                20	                18	                          18	         223	            217	            187	                      187	                    1353	                       1276	                       1121	                                 1121	                       1548	                          1470	                          1288	                                    1288	
marketing-how-create-segment.md                                                                      	             13	                10	                 9	                           9	         139	            131	            106	                      106	                     829	                        761	                        626	                                  626	                        949	                           877	                           719	                                     719	
marketing-how-setup-opportunity-sales-cycles-stages.md                                               	             47	                43	                40	                          40	         650	            640	            603	                      603	                    3456	                       3352	                       3168	                                 3168	                       4049	                          3941	                          3723	                                    3723	
marketing-integrate-dynamicscrm.md                                                                   	             86	                83	                82	                          82	        1554	           1548	           1546	                     1546	                    9899	                       9830	                       9815	                                 9815	                      11283	                         11213	                         11197	                                   11197	
marketing-interaction-segments.md                                                                    	             25	                23	                23	                          23	         317	            313	            313	                      313	                    1850	                       1810	                       1810	                                 1810	                       2135	                          2094	                          2094	                                    2094	
marketing-interactions-overview.md                                                                   	             14	                10	                 9	                           9	         151	            131	            128	                      128	                     900	                        782	                        760	                                  760	                       1035	                           902	                           878	                                     878	
marketing-interactions.md                                                                            	             32	                30	                30	                          30	         333	            329	            329	                      329	                    2025	                       1985	                       1985	                                 1985	                       2322	                          2281	                          2281	                                    2281	
marketing-manage-sales-opportunities.md                                                              	             17	                12	                12	                          12	         167	            145	            145	                      145	                    1009	                        884	                        884	                                  884	                       1154	                          1013	                          1013	                                    1013	
marketing-processing-sales-opportunities.md                                                          	             67	                64	                60	                          60	         826	            818	            753	                      753	                    4778	                       4711	                       4290	                                 4290	                       5528	                          5457	                          4981	                                    4981	
marketing-relationship-management.md                                                                 	             23	                19	                18	                          18	         265	            245	            240	                      240	                    1665	                       1547	                       1507	                                 1507	                       1903	                          1770	                          1726	                                    1726	
marketing-segments.md                                                                                	             21	                16	                16	                          16	         163	            141	            141	                      141	                     979	                        854	                        854	                                  854	                       1116	                           975	                           975	                                     975	
marketing-set-up-email-logging.md                                                                    	             96	                94	                79	                          79	        1208	           1204	           1029	                     1029	                    7158	                       7118	                       6117	                                 6117	                       8251	                          8210	                          7048	                                    7048	
marketing-setup-contacts.md                                                                          	            125	               123	               105	                         105	        1790	           1786	           1642	                     1642	                    9944	                       9904	                       9017	                                 9017	                      11598	                         11557	                         10547	                                   10547	
marketing-setup-marketing.md                                                                         	             41	                39	                28	                          28	         756	            752	            556	                      556	                    4301	                       4261	                       3120	                                 3120	                       5009	                          4968	                          3643	                                    3643	
payables-how-apply-purchase-transactions-manually.md                                                 	             95	                89	                81	                          80	        1430	           1407	           1271	                     1266	                    7764	                       7586	                       6877	                                 6840	                       9083	                          8889	                          8055	                                    8014	
payables-how-assign-item-charges.md                                                                  	             64	                60	                54	                          54	         934	            923	            881	                      881	                    4889	                       4815	                       4526	                                 4526	                       5741	                          5661	                          5338	                                    5338	
payables-how-block-vendors.md                                                                        	             18	                13	                12	                          11	         127	            120	             95	                       94	                     747	                        674	                        544	                                  528	                        852	                           778	                           625	                                     609	
payables-how-post-payments-refunds.md                                                                	             39	                37	                35	                          35	         553	            549	            521	                      521	                    3247	                       3207	                       3028	                                 3028	                       3748	                          3707	                          3504	                                    3504	
payables-how-suggest-vendor-payments.md                                                              	             26	                22	                20	                          20	         423	            409	            381	                      381	                    2494	                       2400	                       2221	                                 2221	                       2879	                          2776	                          2573	                                    2573	
payables-how-work-checks.md                                                                          	             58	                53	                47	                          47	         798	            784	            698	                      698	                    4310	                       4177	                       3724	                                 3724	                       5036	                          4896	                          4365	                                    4365	
payables-make-payments.md                                                                            	             32	                27	                24	                          24	         439	            417	            390	                      390	                    2509	                       2384	                       2203	                                 2203	                       2910	                          2769	                          2564	                                    2564	
payables-manage-payables.md                                                                          	             30	                24	                21	                          21	         379	            365	            344	                      344	                    2328	                       2211	                       2047	                                 2047	                       2669	                          2546	                          2364	                                    2364	
product-error-messages.md                                                                            	             22	                20	                20	                          20	         354	            350	            350	                      350	                    2070	                       2030	                       2030	                                 2030	                       2394	                          2353	                          2353	                                    2353	
product-get-started.md                                                                               	             74	                70	                65	                          65	        1098	           1086	           1003	                     1003	                    6424	                       6312	                       5836	                                 5836	                       7397	                          7279	                          6727	                                    6727	
product-help-and-support.md                                                                          	            121	               119	               117	                         117	        1947	           1943	           1909	                     1909	                   11125	                      11085	                      10908	                                10908	                      12906	                         12865	                         12656	                                   12656	
product-news.md                                                                                      	             13	                10	                10	                          10	         135	            129	            129	                      129	                     981	                        912	                        912	                                  912	                       1092	                          1022	                          1022	                                    1022	
product-requirements.md                                                                              	             38	                36	                36	                          36	         650	            646	            646	                      646	                    4009	                       3969	                       3969	                                 3969	                       4588	                          4547	                          4547	                                    4547	
production-about-planning-functionality.md                                                           	            115	               104	                88	                          85	        1436	           1409	           1256	                     1248	                    8316	                       8128	                       7293	                                 7235	                       9623	                          9420	                          8449	                                    8386	
production-about-production-orders.md                                                                	            194	               192	               182	                         182	        2610	           2606	           2553	                     2553	                   14418	                      14378	                      14074	                                14074	                      16831	                         16790	                         16443	                                   16443	
production-configure-production-processes.md                                                         	             37	                32	                32	                          32	         453	            431	            431	                      431	                    2779	                       2636	                       2636	                                 2636	                       3187	                          3028	                          3028	                                    3028	
production-handling-lot-sizes.md                                                                     	             46	                44	                42	                          42	         737	            733	            726	                      726	                    3671	                       3631	                       3574	                                 3574	                       4356	                          4315	                          4252	                                    4252	
production-how-set-up-standard-routing-lines.md                                                      	             17	                13	                12	                          12	         192	            178	            176	                      176	                    1312	                       1217	                       1180	                                 1180	                       1474	                          1370	                          1333	                                    1333	
production-how-to-create-a-forecast.md                                                               	             97	                95	                87	                          87	        1470	           1466	           1388	                     1388	                    8095	                       8055	                       7656	                                 7656	                       9452	                          9411	                          8942	                                    8942	
production-how-to-create-production-boms.md                                                          	             78	                71	                66	                          66	        1074	           1049	            983	                      983	                    5986	                       5829	                       5458	                                 5458	                       6989	                          6815	                          6385	                                    6385	
production-how-to-create-production-orders-from-sales-orders.md                                      	             16	                12	                12	                          11	         147	            113	             97	                       93	                     982	                        771	                        531	                                  498	                       1103	                           864	                           616	                                     580	
production-how-to-create-production-orders.md                                                        	             21	                16	                14	                          14	         219	            183	            166	                      166	                    1389	                       1172	                        930	                                  930	                       1578	                          1332	                          1082	                                    1082	
